gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Cluster
1,0,1,-1.2774445836787656,1,0,0,2,-0.1581536881294745,3
0,0,0,-0.0965540357978854,1,0,0,1,-0.3243245357091214,1
0,1,0,0.5549717837226001,1,1,1,0,1.1712130925077,0
1,0,0,0.4328106925625091,1,0,0,1,0.0412513289661016,3
1,0,0,-1.2774445836787656,1,1,1,2,-1.4875204687666492,1
1,0,1,-0.9109613101984924,1,1,1,0,-1.3213496211870024,1
1,0,1,1.6137012404433893,0,0,0,0,0.0080171594501722,0
1,0,0,1.369379058123207,0,1,1,0,-0.2578561966772627,2
0,0,0,1.4100994218432374,1,1,0,2,-1.45428629925072,2
0,0,1,0.1070477828022663,1,1,1,0,-0.4904953832887682,2
1,0,1,1.6137012404433893,1,1,1,2,1.437086448635135,3
0,0,0,0.188488510242327,0,0,1,1,-0.8228370784480619,2
1,0,1,1.6137012404433893,1,1,1,2,1.3706181096032763,3
1,0,0,-0.8295205827584317,1,0,1,1,0.6727005497687596,3
1,0,1,0.7178532386027215,1,0,0,0,0.3735930241253952,0
1,1,0,1.247217966963116,0,0,0,0,-0.9557737565117794,2
0,0,0,-0.5444780367182193,1,1,0,2,0.7391688888006183,3
1,0,0,-0.5851984004382496,1,0,0,0,0.174188007029819,1
1,1,1,-0.1779947632379461,1,1,1,1,-0.4572612137728389,1
1,0,1,-0.1779947632379461,1,1,0,2,0.9385739058961944,3
1,0,1,0.1070477828022663,1,1,1,0,0.8388713973484064,0
0,0,0,-1.2774445836787656,1,0,1,2,-1.4875204687666492,1
1,0,0,-0.748079855318371,0,1,0,2,-1.1219446040914265,1
0,0,1,0.1070477828022663,1,0,0,0,1.4038522791192056,0
0,0,0,-1.2774445836787656,1,1,0,1,-1.4875204687666492,1
0,0,0,1.0436161483629645,1,1,1,0,1.2376814315395588,0
0,0,0,-0.1779947632379461,1,1,0,2,1.3373839400873468,3
1,0,1,-1.1145631287986442,1,1,0,1,0.5065297021891128,1
1,0,0,1.5729808767233588,1,1,1,0,0.3071246850935365,0
0,0,0,-0.4630373092781585,1,1,0,0,1.071510583959912,0
0,0,0,0.7992939660427822,1,0,0,0,-0.2246220271613333,0
0,0,0,-0.7073594915983407,1,0,0,0,1.1379789229917707,0
1,0,0,-0.4630373092781585,1,1,0,1,0.5729980412209714,3
0,0,0,1.125056875803025,1,1,0,2,-1.45428629925072,2
1,0,0,1.369379058123207,1,1,0,0,1.071510583959912,0
0,1,0,-0.7073594915983407,1,0,1,0,0.3403588546094659,1
0,0,0,0.0256070553622056,1,0,0,0,0.174188007029819,0
1,0,1,-0.9109613101984924,1,0,0,0,-1.3545837907029317,1
1,0,1,1.6137012404433893,1,1,0,0,0.3403588546094659,0
